site_id,site_name,state,latitude,longitude,sample_date,characteristic,result_value,unit
USGS-412928081560220,,,,,2015-07-19,"Temperature, water",74.3,deg F
USGS-412928081560220,,,,,2015-07-19,Escherichia coli,6.0,MPN/100 ml
USGS-412928081560220,,,,,2015-07-19,Turbidity,4.5,NTRU
USGS-412928081560220,,,,,2015-07-19,Wave height,0.1,ft
USGS-412929081561100,,,,,2015-07-09,Escherichia coli,98.0,MPN/100 ml
USGS-412929081561100,,,,,2015-07-09,Turbidity,19.0,NTRU
USGS-412929081561100,,,,,2015-07-30,Escherichia coli,280.0,MPN/100 ml
USGS-412929081561100,,,,,2015-07-30,Turbidity,17.0,NTRU
USGS-412922081442303,,,,,2015-06-20,"Temperature, water",20.8,deg C
USGS-412922081442303,,,,,2015-06-20,"Acidity, (H+)",1e-05,mg/l
USGS-412922081442303,,,,,2015-06-20,pH,7.9,std units
USGS-412922081442303,,,,,2015-06-20,Escherichia coli,20.0,MPN/100 ml
USGS-412922081442303,,,,,2015-06-20,Turbidity,9.2,NTRU
USGS-412922081442303,,,,,2015-06-20,Wave height,0.0,ft
USGS-412922081442303,,,,,2015-07-10,"Temperature, water",21.0,deg C
USGS-412922081442303,,,,,2015-07-10,"Acidity, (H+)",1e-05,mg/l
USGS-412922081442303,,,,,2015-07-10,pH,7.9,std units
USGS-412922081442303,,,,,2015-07-10,Escherichia coli,330.0,MPN/100 ml
USGS-412922081442303,,,,,2015-07-10,Turbidity,13.0,NTRU
USGS-412922081442303,,,,,2015-07-10,Wave height,0.4,ft
USGS-413510081340100,,,,,2015-06-04,"Temperature, air",18.4,deg C
USGS-413510081340100,,,,,2015-06-04,"Acidity, (H+)",1e-05,mg/l
USGS-413510081340100,,,,,2015-06-04,pH,8.1,std units
USGS-413510081340100,,,,,2015-06-04,Escherichia coli,28.0,MPN/100 ml
USGS-413510081340100,,,,,2015-06-04,Turbidity,6.9,NTRU
USGS-413510081340100,,,,,2015-06-04,Wave height,0.0,ft
USGS-412928081560220,,,,,2015-06-06,"Temperature, water",65.8,deg F
