dataset_size,query_type,query_shape,algorithm,scanned_count,result_count
1000,simple,characteristic,baseline_linear_scan,1000,157
1000,simple,characteristic,optimized_index,157,157
1000,medium,characteristic_value_range,baseline_linear_scan,1000,141
1000,medium,characteristic_value_range,optimized_index,157,141
1000,complex,characteristic_value_date_range,baseline_linear_scan,1000,14
1000,complex,characteristic_value_date_range,optimized_index,16,14
5000,simple,characteristic,baseline_linear_scan,5000,810
5000,simple,characteristic,optimized_index,810,810
5000,medium,characteristic_value_range,baseline_linear_scan,5000,734
5000,medium,characteristic_value_range,optimized_index,810,734
5000,complex,characteristic_value_date_range,baseline_linear_scan,5000,190
5000,complex,characteristic_value_date_range,optimized_index,212,190
10000,simple,characteristic,baseline_linear_scan,10000,1575
10000,simple,characteristic,optimized_index,1575,1575
10000,medium,characteristic_value_range,baseline_linear_scan,10000,1428
10000,medium,characteristic_value_range,optimized_index,1575,1428
10000,complex,characteristic_value_date_range,baseline_linear_scan,10000,401
10000,complex,characteristic_value_date_range,optimized_index,445,401
12400,simple,characteristic,baseline_linear_scan,12400,1980
12400,simple,characteristic,optimized_index,1980,1980
12400,medium,characteristic_value_range,baseline_linear_scan,12400,1797
12400,medium,characteristic_value_range,optimized_index,1980,1797
12400,complex,characteristic_value_date_range,baseline_linear_scan,12400,514
12400,complex,characteristic_value_date_range,optimized_index,570,514
