state,characteristic,count,mean,min,max,std,trend_slope
,Escherichia coli,1980,352.29545454545456,1.0,97000.0,2386.8094476673855,-0.0518213673750416
,Turbidity,1833,26.994708128750684,0.1,1200.0,80.97976671942025,0.021000390817941375
,"Temperature, water",1557,24.399357739242134,0.0,79.8,13.684624682557642,-0.008360343959808648
,Wave height,1508,0.6249336870026525,0.0,6.0,0.8321867638494341,7.873565491694575e-06
,pH,586,7.782423208191126,6.1,9.2,0.46231528742881745,0.00011856417605755331
,"Acidity, (H+)",534,4.044943820224719e-05,1e-05,0.00086,8.167823201947202e-05,-1.2806605100099513e-08
,Oxygen,241,50.17427385892116,0.5,139.0,44.99134635548661,0.0031854773894160926
,"Stream flow, instantaneous",212,607.1334905660377,0.5,7880.0,1093.1012997305975,-0.053563421626427674
,"Height, gage",212,2.9633490566037737,0.37,15.06,2.286774652676068,-9.373741891397019e-05
,Nitrite,204,0.06424509803921569,0.005,0.831,0.09202780230745168,-8.273567756747236e-06
,Nitrate,204,6.947995098039216,0.442,31.1,6.463102757946827,-0.00032319792884939844
,Orthophosphate,198,0.08098484848484848,0.005,0.467,0.07804262479942037,-1.074956063141222e-05
,Ammonia and ammonium,178,0.0954438202247191,0.01,1.33,0.15375670147452836,-1.5562562397324136e-05
,Specific conductance,164,912.1829268292682,333.0,2630.0,340.0252188656077,-0.046895177688823425
,"Temperature, air",154,18.28116883116883,-1.4,32.0,5.6255074170041555,-0.012490869184469178
,Number of sampling points,127,9.51968503937008,1.0,13.0,2.0229019215632693,-0.00045985621493468856
,Stream width measure,122,115.90163934426229,64.0,155.0,19.407793700700342,0.000574829047408189
,Barometric pressure,111,744.8648648648649,729.0,762.0,6.018719277262835,0.0005688884025742989
,Chloride,105,159.35619047619048,40.7,694.0,82.14091367749229,-0.005161290776267997
,Suspended Sediment Concentration (SSC),103,120.29126213592232,4.0,1650.0,253.21918174048272,-0.0654965640769219
,Phosphorus,102,0.16215686274509808,0.042,1.21,0.17135405069095053,-5.275804966725897e-05
,Inorganic nitrogen (nitrate and nitrite),102,2.5906470588235293,0.448,7.07,1.488409946738523,-0.00012292675514472535
,"Nitrogen, mixed forms (NH3), (NH4), organic, (NO2) and (NO3)",101,3.3517821782178214,1.08,8.16,1.4917126817289244,-0.00023212555502850267
,Suspended Sediment Discharge,93,1236.8150537634408,1.5,32800.0,4491.466981463834,-1.0726145780770975
,Organic Nitrogen,88,0.7209090909090908,0.05,2.5,0.29609824983224575,-3.403495945678831e-05
,Sediment,61,0.02781967213114754,0.002,0.2341,0.04275708672800654,-1.94643543215856e-05
,Depth to water level below land surface,30,4.853666666666667,1.21,11.56,3.0357651241308,-0.131584671154842
,Atrazine,30,59.46866666666667,0.01,1420.0,253.1232310125292,-0.06810786219245137
,Caffeine,20,97.0545,0.04,1040.0,227.3309516426437,0.3092087867875838
,Imidacloprid,19,26.05263157894737,4.6,84.6,20.44665378416549,0.07586863737763701
,Metolachlor,17,7.697647058823528,0.01,95.1,22.043185829695563,-0.010410253343426691
,Decafluorobiphenyl,16,59.75625,30.7,76.8,11.753721152788167,0.010063110863460054
,Caffeine-d9,16,72.8125,21.5,93.6,18.670661309926864,0.015032693441857774
,"N,N-Diethyl-m-toluamide",16,0.0675,0.02,0.3,0.06456585785072479,-5.1107932315053505e-05
,Fluoranthene-d10,16,75.85,33.4,105.0,18.824385780152298,0.016511481215015486
,Prometon,16,4.48875,0.02,12.4,3.854310695507045,-0.004946401087110391
,Cotinine,16,11.67375,0.02,65.0,15.89326424739424,0.023592679825539715
,"1,3,4,6,7,8-Hexahydro-4,6,6,7,8,8-hexamethylcyclopenta[g]-2-benzopyran",15,0.11200000000000003,0.02,0.25,0.06420799534845069,9.081723038158568e-06
,Carbon dioxide,15,114.63333333333334,9.5,195.0,54.93161405076518,1.8217244950802682
,Bisphenol A-d14,15,70.06666666666666,0.0,124.0,29.730941607841636,-0.04066521006438843
,Bicarbonate,15,319.53333333333336,127.0,686.0,129.80131826072576,-4.7832729155877765
,Hydroxide,15,0.0,0.0,0.0,0.0,0.0
,Carbonate,15,0.2,0.0,1.3,0.3119829055146024,-0.0047902641118591355
,"Flow rate, instantaneous",15,0.08600000000000002,0.06,0.11,0.014966629547095765,-0.00047643707923355653
,Alkalinity,15,262.26666666666665,104.0,563.0,106.62486680986862,-3.921284308648368
,Oxidation reduction potential (ORP),15,90.83999999999999,-92.6,243.0,89.6845196601212,7.218643190056965
,"Tris(1,3-dichloro-2-propyl)phosphate",13,0.10153846153846155,0.02,0.19,0.04720595690020387,-4.2613785876501475e-05
,Triethyl citrate,13,0.09769230769230772,0.02,0.31,0.0786573724994721,1.0872054268488775e-05
,Butachlor ESA,12,109.96666666666668,92.7,141.0,14.918351860115855,-0.04609596688560253
,Carbofuran-D3,12,100.93333333333332,88.6,122.0,8.00836368360534,-0.0481980501425641
,Carbendazim-d4,12,99.99166666666667,88.1,108.0,4.985054050748988,-0.008590444816275838
,Carbendazim,12,29.804166666666664,7.86,65.3,21.247563569475183,-0.03051075801624281
,2-Hydroxyatrazine,12,47.64333333333334,9.82,381.0,100.58749751114975,0.3057612813313359
,Dimethachlor sulfonic acid,12,96.75833333333333,81.5,131.0,12.759797433954647,0.040549292895527736
,Carbaryl-d7,12,100.61666666666667,67.6,134.0,17.464145810456603,-0.1280805690884653
,Nicosulfuron-d6,12,99.5,71.3,110.0,10.202042279204036,0.040192090346335606
,Diflubenzuron-d4,12,101.09166666666668,91.5,111.0,5.312949327403334,-0.005788495580169837
,Deethylatrazine-d6,12,88.575,74.2,104.0,8.879670132762064,-0.06114538435777162
,Diazinon-D10,12,105.94166666666666,84.3,124.0,11.752762677581622,-0.021847511977686578
,Cholesterol,12,0.7250000000000001,0.3,1.7,0.36996621467371854,0.0003114879869394618
,Diuron-d6,12,99.26666666666667,82.6,112.0,8.281840911831676,0.048410544962226305
,Alachlor-d13,12,94.07499999999999,76.6,113.0,9.868816629498527,0.06654387117097704
,Thiobencarb-d10,12,103.55833333333334,92.8,131.0,11.32427027327687,-0.06081595525430711
,Linuron-d6,12,104.33333333333333,101.0,109.0,2.896357866163794,0.0023138324807653265
,Hexazinone-d6,12,102.85833333333333,91.0,111.0,5.4705969103522465,0.010029817621039673
,Malathion-D10,12,79.125,55.2,104.0,11.66369902732405,-0.04167452131192553
,Tebuconazole-d6,12,104.47500000000001,92.1,113.0,6.173211616870644,-0.029831103898161425
,Acetochlor-d11,12,108.34166666666665,83.9,140.0,16.56087046491082,-0.08999721022882946
,3-Phenoxybenzoic acid-13C6,12,102.375,94.6,114.0,7.015949092365671,0.004051754293855615
,Fluoranthene,12,0.13333333333333336,0.01,0.7,0.20307360460899118,2.2038210166544058e-05
,"2,4-D-d3",12,95.76666666666665,84.3,105.0,6.524100619157318,0.024320342775269496
,cis-Permethrin-13C6,12,82.64166666666667,50.9,106.0,15.302421286261277,-0.008521477199367944
,Anthraquinone,12,0.07833333333333334,0.02,0.24,0.062025980219761315,-3.814192390218481e-05
,Metolachlor-d6,12,103.34166666666668,96.0,115.0,5.525163396276671,-0.022353025969725087
,Pyrene,11,0.10454545454545455,0.01,0.5,0.15143937499052437,9.79513849002405e-05
,Benzophenone,11,0.06454545454545456,0.03,0.11,0.024995867427031856,-2.302923730561271e-05
,Phenanthrene,10,0.096,0.01,0.46,0.1403709371629327,6.27714343598259e-05
,Diuron,10,31.669999999999998,8.13,104.0,26.76564365002269,0.08351443150603968
,Hydrocodone-d3,9,102.69999999999999,93.8,112.0,7.1390942469382415,-0.000446537574957487
,Norfluoxetine-d6,9,79.56666666666666,51.7,99.7,16.0932007727211,0.005368590075195472
,Diphenhydramine-d3,9,107.28888888888889,90.4,123.0,9.646236392666824,0.021405800160295575
,Diazepam-D5,9,97.56666666666666,93.8,102.0,2.425329301810833,0.003646792502803844
,Fipronil,9,6.476666666666667,3.13,9.02,1.8725858532461943,-0.0038224454434333285
,Fluoxetine-d6,9,67.0888888888889,49.1,92.3,13.704374357963587,-0.002859730366900183
,Methocarbamol,9,78.04444444444444,14.8,150.0,41.85241559764531,-0.027831761416228992
,Metoprolol,9,59.333333333333336,13.7,125.0,34.54025027252826,0.015990307775713197
,Fexofenadine,9,243.60000000000002,34.2,466.0,159.06640821437512,-0.26907903177079656
,Diltiazem-d3,9,98.8,77.9,136.0,15.893954126578375,0.030531748035276102
,Desmethylvenlafaxine,9,97.57777777777778,22.5,188.0,57.830226194684684,-0.1337619376723486
,Metformin,9,1979.4444444444443,574.0,4860.0,1286.8063059900671,-2.1038699923162953
,Methadone-d9,9,103.55555555555556,87.6,127.0,12.034036093155033,0.020294008505871798
,"2,4-D",9,209.6777777777778,18.7,1020.0,305.34087609962074,0.5343392707694941
,Tramadol,9,70.87777777777778,12.2,122.0,38.677434643694816,-0.07948734396360374
,Pseudoephedrine-d3,9,95.76666666666667,86.1,102.0,4.58669573634199,-0.006385818397016999
,Acyclovir,9,136.0111111111111,51.1,413.0,105.67224427387045,0.031195829557007688
,Sulfamethoxazole-13C6,9,134.77777777777777,104.0,154.0,15.886946268191224,0.05048550787613932
,Sulfamethoxazole,9,160.5111111111111,21.5,436.0,129.99850806361368,-0.08845058220940213
,Amphetamine-d6,9,95.02222222222221,86.5,101.0,4.438162226712459,-0.012818470129436503
,Trimethoprim,9,24.42777777777778,7.15,54.2,16.396698704161814,-0.0327859902801861
,Venlafaxine,9,50.05555555555556,14.8,105.0,27.81462888925383,-0.03231651885541809
,Trimethoprim-d9,9,95.88888888888887,86.3,101.0,4.0899455156502595,-0.007288894774668806
,Bupropion,9,14.634444444444446,7.45,34.4,9.17391000017757,-0.0027289418976950168
,Caffeine-trimethyl-13C3,9,98.48888888888888,91.6,104.0,3.818505945303869,0.00930914277752721
,Temazepam-d5,9,102.43333333333332,96.2,108.0,4.127145906474997,0.010814155116973053
,Carbamazepine,9,49.94111111111111,5.07,119.0,40.821445465301,0.02282693323732158
,Acetaminophen-d3,9,118.33333333333333,45.7,187.0,41.688874081968464,0.0661912289922487
,Tolyl triazole,9,1153.3333333333333,125.0,3290.0,897.9794602946724,0.5855974043710203
,Oxycodone-d3,9,110.03333333333333,93.3,119.0,6.732013071882735,0.011161990920264746
,"Acetamide, 2-(diethylamino)-N-(2,6-dimethylphenyl)-",9,79.31111111111112,11.6,217.0,58.57095306728307,0.032347764070347965
,Codeine-d6,9,102.69999999999999,89.8,118.0,7.904991390816875,0.0033444795292112456
,Thiabendazole-d4,9,97.58888888888889,90.8,106.0,4.378849276654122,-0.010627994333097367
,Cotinine-d3,9,95.28888888888889,89.5,98.3,2.6129780559713187,-7.042243806477351e-05
,Albuterol-d9,9,105.65555555555555,75.4,125.0,13.842535984028927,0.028571921242745695
